Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Kam Jones,SG,23.0,IND,32.0,511.0,8.9,0.498,14.1,0.0,0.2,0.2,0.014,-4.0,-1.8,-5.8,-0.5,7.0,4.3,1.6,3.0,0.5,0.0,0.9,0.426,0.311,0.5,1272870.0,1.27287
Jamison Battle,SF,24.0,TOR,56.0,498.0,10.3,0.636,13.9,0.4,0.5,0.9,0.082,-1.8,-1.0,-2.8,-0.1,2.0,3.2,1.6,0.4,0.1,0.1,0.3,0.504,0.422,0.667,1955377.0,1.955377
Keaton Wallace,PG,26.0,ATL,51.0,496.0,11.2,0.545,15.8,0.3,0.6,0.9,0.082,-2.4,0.5,-1.8,0.0,2.0,3.5,1.0,1.7,0.5,0.1,0.5,0.42,0.398,0.643,2296274.0,2.296274
D'Angelo Russell,PG,29.0,DAL,26.0,495.0,12.3,0.511,26.0,-0.3,0.3,0.0,-0.003,-0.7,-1.6,-2.3,0.0,3.0,10.2,2.3,4.0,0.5,0.1,1.9,0.405,0.295,0.717,5685000.0,5.685
Trayce Jackson-Davis,C,25.0,2TM,50.0,487.0,16.5,0.576,15.3,0.7,0.6,1.4,0.137,-0.7,0.4,-0.3,0.2,1.0,3.5,2.8,0.8,0.3,0.5,0.4,0.57,1.0,0.514,2221677.0,2.221677
Tyrese Proctor,PG,21.0,CLE,46.0,472.0,11.4,0.544,21.0,0.2,0.4,0.6,0.063,-2.6,-0.4,-2.9,-0.1,1.0,4.9,1.1,1.3,0.4,0.0,0.6,0.403,0.342,0.889,1272870.0,1.27287
Cam Christie,SG,20.0,LAC,51.0,461.0,9.7,0.494,16.9,-0.1,0.4,0.2,0.023,-3.3,-0.9,-4.2,-0.3,0.0,3.0,1.5,0.6,0.3,0.1,0.4,0.386,0.245,0.76,1955377.0,1.955377
Taurean Prince,SF,31.0,MIL,21.0,456.0,8.7,0.589,14.9,0.0,0.2,0.2,0.024,-2.7,-1.6,-4.3,-0.3,3.0,7.5,2.4,1.4,0.6,0.2,1.0,0.435,0.404,1.0,3303774.0,3.303774
Ariel Hukporti,C,23.0,NYK,52.0,455.0,11.6,0.612,10.5,0.4,0.7,1.1,0.114,-3.8,1.4,-2.3,0.0,4.0,1.9,2.8,0.5,0.2,0.5,0.6,0.544,0.25,0.788,1955377.0,1.955377
Asa Newell,PF,20.0,ATL,42.0,453.0,14.1,0.63,17.1,0.6,0.5,1.1,0.114,-1.0,-0.5,-1.4,0.1,1.0,5.0,2.0,0.5,0.4,0.3,0.5,0.539,0.394,0.56,3237480.0,3.23748
Jeremy Sochan,PF,22.0,2TM,42.0,443.0,11.6,0.559,14.5,0.3,0.7,1.0,0.109,-2.8,1.0,-1.8,0.0,0.0,3.5,2.4,0.8,0.4,0.2,0.5,0.5,0.231,0.708,7874853.0,7.874853
Amir Coffey,SG,28.0,2TM,43.0,437.0,10.2,0.593,11.1,0.6,0.2,0.8,0.087,-2.1,-0.9,-3.0,-0.1,2.0,2.9,1.2,0.6,0.2,0.1,0.1,0.484,0.317,0.786,2296274.0,2.296274
Terrence Shannon Jr.,SG,25.0,MIN,38.0,436.0,8.3,0.548,15.6,0.1,0.4,0.5,0.058,-4.1,-0.4,-4.5,-0.3,1.0,4.1,1.1,0.7,0.3,0.0,0.5,0.411,0.382,0.773,2674080.0,2.67408
Bogdan Bogdanović,SG,33.0,LAC,21.0,429.0,8.2,0.507,18.4,-0.2,0.3,0.1,0.009,-2.9,-0.9,-3.9,-0.2,3.0,7.3,2.7,2.4,0.5,0.0,1.2,0.376,0.329,0.8,16020000.0,16.02
Yanic Konan Niederhäuser,C,22.0,LAC,41.0,424.0,16.4,0.691,15.7,0.8,0.5,1.3,0.151,-2.5,0.4,-2.2,0.0,0.0,4.3,2.9,0.3,0.1,0.7,0.6,0.64,0.2,0.758,2743800.0,2.7438
Marcus Sasser,PG,25.0,DET,34.0,424.0,12.3,0.556,19.5,0.3,0.6,0.9,0.103,-1.0,0.1,-0.9,0.1,5.0,5.6,1.1,2.1,0.6,0.1,0.9,0.407,0.433,0.833,2886720.0,2.88672
Tony Bradley,C,28.0,IND,38.0,416.0,13.1,0.604,14.5,0.7,0.2,0.9,0.1,-2.4,-1.7,-4.1,-0.2,3.0,4.0,2.8,0.5,0.2,0.2,0.4,0.557,0.5,0.744,3204816.0,3.204816
Moritz Wagner,C,28.0,ORL,34.0,416.0,15.2,0.549,24.3,0.3,0.5,0.9,0.1,-1.5,-0.9,-2.3,0.0,0.0,7.1,3.2,0.7,0.4,0.0,0.6,0.426,0.324,0.819,5000000.0,5.0
Jayson Tatum,PF,27.0,BOS,13.0,409.0,20.9,0.535,30.3,0.5,0.8,1.3,0.158,3.4,1.6,4.9,0.7,13.0,21.4,9.9,5.1,1.3,0.2,2.0,0.409,0.333,0.821,54126450.0,54.12645
Maxi Kleber,PF,34.0,LAL,38.0,403.0,8.7,0.53,9.5,0.2,0.4,0.6,0.073,-3.8,0.5,-3.3,-0.1,1.0,2.1,2.0,0.6,0.4,0.3,0.4,0.46,0.261,0.583,11000000.0,11.0
Matisse Thybulle,SG,28.0,POR,26.0,397.0,15.0,0.605,14.9,0.3,0.8,1.1,0.135,-1.5,5.9,4.3,0.6,0.0,5.7,2.1,0.9,1.9,0.5,0.9,0.434,0.392,0.87,11550000.0,11.55
Myron Gardner,SF,24.0,MIA,41.0,395.0,15.6,0.609,15.0,0.8,0.6,1.4,0.169,-0.8,2.0,1.1,0.3,7.0,3.9,2.9,1.0,0.5,0.2,0.4,0.479,0.406,0.731,395029.0,0.395029
Dejounte Murray,PG,29.0,NOP,14.0,389.0,18.1,0.58,26.8,0.2,0.4,0.6,0.073,0.8,0.5,1.4,0.3,14.0,16.7,5.4,6.4,1.6,0.2,3.4,0.484,0.306,0.867,30801103.0,30.801103
AJ Johnson,SG,21.0,2TM,44.0,386.0,5.2,0.401,19.1,-0.8,0.1,-0.7,-0.091,-6.2,-2.1,-8.3,-0.6,0.0,2.8,1.1,0.9,0.2,0.0,0.5,0.324,0.229,0.826,3090480.0,3.09048
Trae Young,PG,27.0,2TM,15.0,384.0,21.1,0.612,28.1,1.2,0.2,1.4,0.174,4.3,-1.4,2.8,0.5,15.0,17.9,2.0,8.0,0.9,0.1,2.6,0.458,0.338,0.825,46394100.0,46.3941
Cameron Payne,PG,31.0,PHI,22.0,374.0,14.4,0.514,19.2,0.4,0.4,0.8,0.104,-0.6,0.9,0.3,0.2,1.0,7.4,2.0,2.6,1.1,0.3,0.5,0.376,0.33,0.864,712637.0,0.712637
Julian Phillips,SF,22.0,2TM,44.0,371.0,10.1,0.545,12.9,0.2,0.3,0.5,0.065,-2.5,0.4,-2.1,0.0,2.0,2.6,1.0,0.2,0.5,0.2,0.2,0.424,0.315,0.882,2221677.0,2.221677
Larry Nance Jr.,PF,33.0,CLE,31.0,369.0,9.1,0.481,13.6,0.0,0.4,0.5,0.063,-4.0,0.8,-3.2,-0.1,2.0,3.3,2.6,0.9,0.5,0.1,0.5,0.382,0.345,0.571,2296274.0,2.296274
Liam McNeeley,SF,20.0,CHO,30.0,363.0,10.8,0.594,14.5,0.5,0.4,0.9,0.114,-1.2,-0.1,-1.2,0.1,0.0,4.4,2.4,0.8,0.2,0.1,0.4,0.404,0.4,0.821,2763960.0,2.76396
Jeremiah Robinson-Earl,PF,25.0,2TM,22.0,361.0,9.4,0.468,14.1,0.0,0.2,0.2,0.029,-3.4,-1.8,-5.2,-0.3,3.0,4.6,4.7,0.7,0.4,0.0,0.5,0.37,0.244,0.944,131970.0,0.13197
Kelly Olynyk,C,34.0,SAS,42.0,360.0,13.5,0.59,16.0,0.4,0.6,1.0,0.131,-1.3,1.2,-0.1,0.2,0.0,3.2,1.8,1.2,0.4,0.1,0.6,0.49,0.255,0.711,13445122.0,13.445122
Doug McDermott,SF,34.0,SAC,25.0,360.0,8.8,0.593,14.6,0.2,-0.1,0.2,0.022,-1.0,-3.1,-4.1,-0.2,0.0,5.4,1.2,0.6,0.2,0.1,0.4,0.407,0.398,1.0,2296274.0,2.296274
Cam Whitmore,SF,21.0,WAS,21.0,354.0,13.7,0.528,23.7,-0.1,0.1,0.0,-0.001,-1.1,-2.1,-3.3,-0.1,0.0,9.2,2.8,0.7,0.7,0.4,0.9,0.456,0.286,0.742,3539760.0,3.53976
Jae'Sean Tate,SF,30.0,HOU,42.0,353.0,10.2,0.558,13.4,0.4,0.3,0.7,0.093,-3.6,-0.6,-4.2,-0.2,0.0,2.7,1.4,0.5,0.2,0.1,0.3,0.5,0.3,0.7,2296274.0,2.296274
Blake Wesley,SG,22.0,POR,28.0,353.0,11.2,0.519,19.5,0.0,0.4,0.3,0.046,-3.3,0.1,-3.2,-0.1,0.0,5.2,1.3,2.2,0.6,0.2,1.1,0.458,0.286,0.556,5643732.0,5.643732
Khaman Maluach,C,19.0,PHO,42.0,343.0,13.0,0.591,14.8,0.1,0.5,0.6,0.082,-4.2,0.1,-4.2,-0.2,0.0,2.7,2.4,0.1,0.1,0.7,0.6,0.537,0.2,0.71,6016080.0,6.01608
Andre Jackson Jr.,SG,24.0,MIL,44.0,342.0,7.3,0.438,17.7,-0.5,0.2,-0.2,-0.035,-5.1,-1.6,-6.7,-0.4,1.0,2.2,1.3,0.9,0.4,0.0,0.6,0.333,0.283,0.7,2221677.0,2.221677
Ty Jerome,SG,28.0,MEM,15.0,339.0,25.7,0.616,32.7,1.2,0.2,1.4,0.196,8.2,-0.6,7.6,0.8,15.0,19.7,2.8,5.7,1.1,0.3,1.8,0.474,0.42,0.875,8781000.0,8.781
Christian Koloko,C,25.0,3TM,26.0,336.0,9.3,0.467,10.8,-0.1,0.4,0.4,0.053,-5.3,1.5,-3.9,-0.2,4.0,2.7,2.8,0.7,0.5,0.8,0.5,0.435,0.143,0.727,263940.0,0.26394
Obi Toppin,PF,27.0,IND,19.0,322.0,17.7,0.617,23.1,0.4,0.2,0.7,0.098,1.9,-0.5,1.4,0.3,3.0,10.0,4.1,2.2,0.5,0.1,1.1,0.5,0.321,0.852,14000000.0,14.0
Nick Smith Jr.,SG,21.0,LAL,25.0,318.0,9.2,0.53,21.5,-0.2,0.2,0.0,-0.005,-2.9,-2.3,-5.2,-0.3,1.0,5.8,0.8,1.1,0.4,0.1,0.8,0.421,0.391,0.636,2710680.0,2.71068
Killian Hayes,PG,24.0,SAC,19.0,316.0,7.7,0.39,18.7,-0.5,0.1,-0.4,-0.054,-5.5,-1.5,-7.0,-0.4,3.0,4.8,2.4,3.6,0.6,0.2,1.1,0.288,0.255,0.938,263940.0,0.26394
Yang Hansen,C,20.0,POR,41.0,296.0,3.7,0.413,20.1,-0.8,0.3,-0.5,-0.076,-8.9,-0.6,-9.6,-0.6,1.0,2.3,1.6,0.5,0.1,0.2,0.8,0.31,0.119,0.824,4422360.0,4.42236
Bronny James,SG,21.0,LAL,37.0,292.0,8.3,0.494,16.3,-0.2,0.2,0.1,0.009,-3.5,-0.9,-4.4,-0.2,1.0,2.4,0.5,1.1,0.4,0.1,0.5,0.391,0.375,0.857,1955377.0,1.955377
Pat Connaughton,SG,33.0,CHO,39.0,287.0,13.5,0.599,15.0,0.4,0.3,0.7,0.123,0.1,0.5,0.5,0.2,0.0,2.8,1.5,0.5,0.3,0.0,0.3,0.458,0.412,0.65,10739683.0,10.739683
Zach Edey,C,23.0,MEM,11.0,284.0,20.8,0.669,20.2,0.4,0.4,0.8,0.139,-0.6,1.1,0.6,0.2,11.0,13.6,11.1,1.1,0.6,1.9,2.4,0.633,0.2,0.781,6045000.0,6.045
Lindy Waters III,SG,28.0,SAS,39.0,280.0,7.2,0.527,14.2,0.1,0.3,0.3,0.06,-3.0,-0.5,-3.5,-0.1,0.0,2.4,0.7,0.5,0.1,0.0,0.2,0.372,0.338,0.667,2296274.0,2.296274
Malaki Branham,SG,22.0,WAS,28.0,275.0,14.1,0.604,18.4,0.3,0.0,0.4,0.065,-0.8,-1.5,-2.2,0.0,0.0,4.6,1.6,0.8,0.4,0.1,0.5,0.473,0.378,0.824,4962033.0,4.962033
Jordan McLaughlin,PG,29.0,SAS,41.0,266.0,11.3,0.531,14.6,0.0,0.4,0.5,0.089,-2.4,2.4,0.0,0.1,0.0,2.0,0.7,0.9,0.5,0.0,0.4,0.413,0.41,0.8,2296274.0,2.296274
Duop Reath,C,29.0,POR,32.0,258.0,10.6,0.613,13.2,0.3,0.2,0.6,0.103,-0.9,0.0,-0.9,0.1,0.0,2.9,1.2,0.3,0.2,0.3,0.2,0.446,0.418,0.833,2221677.0,2.221677
Kevon Looney,C,29.0,NOP,19.0,254.0,13.5,0.452,10.8,0.3,0.2,0.5,0.102,-1.5,-0.9,-2.4,0.0,6.0,2.7,5.3,1.3,0.3,0.5,0.4,0.426,0.111,0.625,8000000.0,8.0
Chaz Lanier,SG,24.0,DET,30.0,232.0,7.4,0.453,14.8,0.1,0.2,0.3,0.063,-3.3,-1.0,-4.3,-0.1,0.0,2.4,0.7,0.5,0.2,0.0,0.1,0.321,0.3,0.833,1372870.0,1.37287
Joan Beringer,PF,19.0,MIN,35.0,228.0,18.8,0.658,15.9,0.6,0.3,0.9,0.194,-1.0,0.3,-0.7,0.1,1.0,2.9,1.9,0.2,0.1,0.4,0.2,0.652,,0.619,4201080.0,4.20108
Chris Paul,PG,40.0,LAC,16.0,228.0,8.1,0.413,14.2,-0.1,0.2,0.1,0.016,-4.0,-0.2,-4.2,-0.1,0.0,2.9,1.8,3.3,0.7,0.0,1.0,0.321,0.333,0.5,2296274.0,2.296274
Jonathan Mogbo,PF,24.0,TOR,35.0,220.0,13.1,0.573,11.1,0.2,0.4,0.6,0.12,-2.5,1.7,-0.8,0.1,0.0,1.5,1.7,0.6,0.3,0.2,0.3,0.561,0.0,0.583,1955377.0,1.955377
Scotty Pippen Jr.,PG,25.0,MEM,10.0,212.0,14.8,0.537,26.1,-0.1,0.2,0.1,0.03,-2.6,-0.3,-2.9,0.0,6.0,11.4,2.2,4.7,1.9,0.4,2.7,0.448,0.313,0.783,2270735.0,2.270735
Keshad Johnson,SF,24.0,MIA,28.0,211.0,13.3,0.543,20.2,0.0,0.3,0.3,0.07,-2.4,-0.3,-2.7,0.0,0.0,3.6,1.8,0.1,0.4,0.3,0.4,0.439,0.316,0.68,1955377.0,1.955377
E.J. Liddell,PF,25.0,BRK,21.0,203.0,7.2,0.458,14.6,-0.2,0.1,0.0,-0.003,-5.2,-0.9,-6.0,-0.2,0.0,2.6,1.9,0.7,0.1,0.4,0.4,0.386,0.212,0.571,706898.0,0.706898
DaRon Holmes,PF,23.0,DEN,22.0,200.0,12.6,0.7,16.1,0.3,0.1,0.4,0.097,0.5,-1.5,-1.0,0.1,6.0,4.0,1.4,0.7,0.0,0.2,0.5,0.517,0.452,0.818,3218760.0,3.21876
DeAndre Jordan,C,37.0,NOP,12.0,199.0,15.8,0.671,10.2,0.3,0.2,0.6,0.135,-0.5,0.2,-0.3,0.1,7.0,4.4,6.3,0.9,0.3,0.8,0.8,0.656,,0.647,2269880.0,2.26988
Garrison Mathews,SG,29.0,IND,15.0,196.0,11.3,0.628,14.1,0.3,0.1,0.4,0.096,-1.3,-0.1,-1.3,0.0,1.0,5.2,1.1,0.7,0.4,0.2,0.2,0.404,0.37,0.826,429325.0,0.429325
Nigel Hayes-Davis,SF,31.0,PHO,27.0,195.0,4.2,0.356,12.1,-0.3,0.2,-0.1,-0.024,-6.4,-0.9,-7.3,-0.3,0.0,1.3,1.2,0.3,0.3,0.1,0.3,0.326,0.125,0.5,2048494.0,2.048494
JD Davison,PG,23.0,HOU,27.0,192.0,10.1,0.494,14.9,0.1,0.2,0.3,0.086,-2.9,0.8,-2.0,0.0,0.0,2.2,0.9,1.0,0.2,0.1,0.3,0.4,0.286,0.615,2270735.0,2.270735
Drew Timme,PF,25.0,LAL,23.0,187.0,13.7,0.666,14.3,0.4,0.1,0.5,0.119,0.0,-1.1,-1.1,0.0,0.0,3.1,1.2,0.7,0.2,0.0,0.3,0.588,0.421,0.571,1955377.0,1.955377
Zach Collins,C,28.0,CHI,10.0,184.0,17.9,0.666,18.8,0.4,0.1,0.5,0.136,1.0,-0.7,0.2,0.1,0.0,9.7,5.6,1.5,0.2,0.4,1.0,0.578,0.429,0.7,18080496.0,18.080496
Malachi Smith,SG,26.0,BRK,10.0,182.0,15.6,0.648,15.9,0.2,0.1,0.4,0.096,1.3,0.3,1.6,0.2,0.0,7.3,2.1,2.0,1.0,0.4,1.0,0.527,0.545,1.0,73153.0,0.073153
Xavier Tillman Sr.,C,27.0,2TM,28.0,178.0,9.8,0.424,12.8,0.0,0.3,0.2,0.058,-3.4,0.7,-2.7,0.0,1.0,1.4,1.5,0.5,0.3,0.2,0.3,0.395,0.167,0.25,2546675.0,2.546675
Hunter Tyson,PF,25.0,DEN,21.0,162.0,6.4,0.398,16.8,-0.2,0.1,0.0,-0.014,-5.3,-1.6,-6.9,-0.2,2.0,2.2,1.7,0.8,0.1,0.0,0.2,0.269,0.212,0.846,2221677.0,2.221677
Mason Plumlee,C,35.0,2TM,19.0,156.0,13.4,0.757,8.4,0.2,0.3,0.5,0.146,-2.0,2.9,1.0,0.1,2.0,1.5,2.6,1.0,0.5,0.0,0.6,0.769,,0.643,3022108.0,3.022108
Jeff Green,PF,39.0,HOU,29.0,151.0,9.5,0.497,17.4,0.2,0.1,0.3,0.081,-2.1,-2.4,-4.5,-0.1,0.0,2.1,0.7,0.2,0.0,0.0,0.0,0.383,0.3,1.0,2296274.0,2.296274
Bismack Biyombo,C,33.0,SAS,24.0,136.0,4.4,0.615,7.5,0.0,0.2,0.2,0.062,-7.3,1.5,-5.7,-0.1,1.0,0.9,1.0,0.2,0.2,0.1,0.3,0.571,,0.714,2296274.0,2.296274
Amari Williams,PF,24.0,BOS,21.0,136.0,10.2,0.556,11.2,0.0,0.3,0.2,0.08,-4.8,2.9,-1.9,0.0,2.0,1.3,1.9,0.4,0.1,0.5,0.5,0.474,,0.714,490128.0,0.490128
Thanasis Antetokounmpo,SF,33.0,MIL,31.0,115.0,14.5,0.535,16.8,0.0,0.2,0.2,0.078,-3.8,2.1,-1.7,0.0,0.0,1.2,0.9,0.3,0.4,0.2,0.3,0.458,0.0,0.625,2296274.0,2.296274
Kyle Lowry,PG,39.0,PHI,13.0,113.0,3.0,0.375,10.0,-0.1,0.1,-0.1,-0.025,-7.0,-1.7,-8.7,-0.2,0.0,1.3,0.7,0.8,0.2,0.2,0.3,0.2,0.2,0.833,2296274.0,2.296274
Adou Thiero,SF,21.0,LAL,21.0,108.0,9.2,0.532,13.0,0.0,0.1,0.1,0.065,-5.3,-0.1,-5.4,-0.1,0.0,1.4,1.0,0.3,0.2,0.1,0.2,0.455,0.0,0.75,1272870.0,1.27287
Pacôme Dadiet,SG,20.0,NYK,27.0,105.0,10.0,0.452,16.1,0.0,0.1,0.2,0.078,-2.6,0.6,-2.0,0.0,0.0,1.3,0.8,0.4,0.1,0.0,0.1,0.314,0.24,1.0,2847600.0,2.8476
Joe Ingles,SF,38.0,MIN,25.0,102.0,9.9,0.684,9.5,0.0,0.1,0.2,0.083,-2.9,2.4,-0.5,0.0,0.0,0.8,0.4,0.8,0.3,0.0,0.4,0.538,0.375,1.0,2296274.0,2.296274
Kobe Bufkin,SG,22.0,LAL,13.0,94.0,4.7,0.393,22.5,-0.2,0.1,-0.2,-0.092,-7.7,-3.6,-11.4,-0.2,1.0,2.7,0.7,0.4,0.2,0.2,0.3,0.293,0.136,1.0,5480297.0,5.480297
Caleb Houstan,SF,23.0,ATL,18.0,75.0,16.4,0.769,17.4,0.2,0.1,0.2,0.159,1.6,-1.3,0.3,0.0,0.0,2.3,0.6,0.2,0.1,0.1,0.2,0.538,0.524,1.0,699440.0,0.69944
Bobi Klintman,SF,22.0,DET,12.0,71.0,4.5,0.388,20.1,-0.2,0.1,-0.1,-0.042,-7.8,-1.0,-8.7,-0.1,0.0,1.8,1.6,0.5,0.3,0.0,0.5,0.333,0.308,0.0,1955377.0,1.955377
Garrett Temple,SG,39.0,TOR,21.0,69.0,3.1,0.39,15.5,-0.2,0.1,-0.1,-0.07,-7.6,0.2,-7.4,-0.1,0.0,0.7,0.4,0.4,0.1,0.1,0.3,0.214,0.182,0.667,2296274.0,2.296274
Johni Broome,C,23.0,PHI,11.0,55.0,0.3,0.188,22.8,-0.3,0.1,-0.2,-0.214,-11.8,-4.4,-16.3,-0.2,0.0,0.9,1.5,0.4,0.3,0.2,0.3,0.167,0.0,0.333,1272870.0,1.27287
