Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Vít Krejčí,PG,25.0,2TM,64.0,1387.0,11.2,0.611,14.6,1.6,1.3,2.9,0.1,-1.5,0.0,-1.5,0.2,8.0,8.6,2.3,1.6,0.7,0.3,0.6,0.448,0.391,0.745,2349578.0,2.349578
Keon Ellis,SG,26.0,2TM,68.0,1377.0,10.6,0.573,13.1,0.7,1.2,1.9,0.067,-1.9,1.4,-0.4,0.6,9.0,6.5,1.8,0.9,1.2,0.7,0.6,0.435,0.361,0.723,2301587.0,2.301587
Javonte Green,SG,32.0,DET,78.0,1376.0,13.6,0.599,14.7,1.7,2.6,4.3,0.15,-0.6,2.4,1.7,1.3,6.0,6.8,2.7,0.7,1.2,0.3,0.6,0.443,0.373,0.836,2296274.0,2.296274
Anfernee Simons,SG,26.0,2TM,55.0,1372.0,14.5,0.576,23.6,1.8,1.1,2.9,0.1,1.2,-1.4,-0.2,0.7,5.0,14.3,2.5,2.4,0.5,0.1,1.2,0.44,0.385,0.896,27678571.0,27.678571
Daniss Jenkins,PG,24.0,DET,68.0,1364.0,13.7,0.53,21.5,1.0,1.9,2.9,0.102,-0.5,0.2,-0.4,0.6,18.0,9.4,2.3,3.8,0.9,0.2,1.5,0.415,0.384,0.818,3809524.0,3.809524
Luke Kornet,C,30.0,SAS,65.0,1363.0,17.9,0.687,10.3,4.4,2.2,6.6,0.232,1.5,2.0,3.6,1.9,24.0,6.5,6.1,1.8,0.4,1.0,0.4,0.64,,0.821,11000000.0,11.0
Gary Trent Jr.,SG,27.0,MIL,64.0,1358.0,8.3,0.54,17.0,-0.1,0.2,0.1,0.003,-3.0,-2.2,-5.1,-1.1,21.0,8.2,1.0,1.2,0.5,0.0,0.6,0.39,0.368,0.765,3697105.0,3.697105
Khris Middleton,SF,34.0,2TM,58.0,1353.0,11.0,0.53,20.8,-0.3,0.5,0.2,0.007,-2.9,-1.4,-4.3,-0.8,46.0,10.4,3.8,2.9,0.7,0.2,1.8,0.42,0.351,0.867,33296296.0,33.296296
Will Richard,SG,23.0,GSW,66.0,1348.0,11.2,0.603,13.2,1.2,1.4,2.6,0.092,-2.5,0.9,-1.6,0.1,21.0,6.7,2.5,1.4,1.2,0.1,0.8,0.474,0.341,0.852,1272870.0,1.27287
Mark Williams,C,24.0,PHO,57.0,1342.0,21.8,0.672,17.4,3.8,2.2,6.0,0.213,1.5,0.5,1.9,1.3,52.0,11.6,8.0,1.0,0.9,0.9,1.1,0.637,1.0,0.767,6276531.0,6.276531
Walter Clayton,PG,22.0,2TM,66.0,1338.0,9.9,0.513,18.2,-0.2,0.3,0.1,0.004,-2.6,-1.9,-4.5,-0.8,4.0,7.5,2.0,4.0,0.7,0.3,1.7,0.377,0.294,0.895,3991320.0,3.99132
Ja'Kobe Walter,SG,21.0,TOR,67.0,1337.0,11.6,0.598,14.0,1.6,1.7,3.2,0.116,-1.7,1.0,-0.8,0.4,17.0,7.2,2.6,1.2,1.0,0.2,0.5,0.438,0.393,0.827,3638160.0,3.63816
Aaron Nesmith,SF,26.0,IND,45.0,1335.0,10.8,0.554,19.8,0.1,0.5,0.7,0.025,-1.7,-1.7,-3.4,-0.5,42.0,13.8,4.2,1.9,0.6,0.5,1.4,0.414,0.379,0.829,11000000.0,11.0
Christian Braun,SG,24.0,DEN,42.0,1333.0,12.7,0.606,14.9,2.1,0.7,2.9,0.103,-0.3,-0.9,-1.3,0.3,42.0,12.0,4.8,2.8,0.6,0.3,1.0,0.513,0.312,0.79,4921797.0,4.921797
Aaron Wiggins,SG,27.0,OKC,60.0,1330.0,11.9,0.542,20.0,-0.3,2.4,2.1,0.076,-1.4,0.7,-0.7,0.4,19.0,9.7,3.2,1.7,0.9,0.4,1.3,0.434,0.357,0.743,10102803.0,10.102803
Malik Monk,SG,27.0,SAC,59.0,1329.0,14.2,0.564,24.0,0.8,0.2,1.0,0.035,0.8,-2.1,-1.4,0.2,3.0,12.7,1.9,3.1,0.6,0.4,1.4,0.434,0.392,0.879,18797619.0,18.797619
Sam Merrill,SG,29.0,CLE,50.0,1322.0,13.5,0.644,17.1,2.6,0.8,3.5,0.125,1.1,-1.0,0.1,0.7,37.0,12.7,2.6,2.4,0.6,0.1,0.8,0.46,0.421,0.862,8482144.0,8.482144
Gui Santos,PF,23.0,GSW,65.0,1320.0,14.5,0.622,18.5,1.3,1.5,2.8,0.101,-0.6,0.5,-0.1,0.6,28.0,9.2,3.9,2.3,0.9,0.3,1.5,0.51,0.355,0.728,2221677.0,2.221677
Jose Alvarado,PG,27.0,2TM,67.0,1318.0,11.9,0.542,16.6,0.9,1.1,2.0,0.074,-1.6,0.2,-1.4,0.2,2.0,7.2,2.4,3.4,1.0,0.1,1.1,0.415,0.349,0.8,4500000.0,4.5
Patrick Williams,PF,24.0,CHI,67.0,1316.0,7.6,0.488,16.6,-1.2,0.8,-0.4,-0.015,-3.6,-1.3,-4.9,-1.0,4.0,6.6,2.9,1.3,0.6,0.3,1.0,0.371,0.347,0.677,18000000.0,18.0
Baylor Scheierman,SG,25.0,BOS,72.0,1309.0,11.0,0.603,11.3,1.6,1.6,3.3,0.12,-1.2,1.4,0.2,0.7,19.0,5.0,3.5,1.5,0.6,0.1,0.6,0.45,0.386,0.864,2619000.0,2.619
Egor Dёmin,PG,19.0,BRK,52.0,1308.0,11.3,0.561,18.8,0.2,0.7,0.9,0.033,-0.9,-0.7,-1.6,0.1,45.0,10.3,3.2,3.3,0.8,0.3,1.7,0.399,0.385,0.831,6889200.0,6.8892
Alex Sarr,C,20.0,WAS,48.0,1305.0,19.4,0.544,25.7,0.7,0.9,1.6,0.061,0.8,-0.2,0.7,0.9,48.0,16.3,7.4,2.7,0.8,2.0,1.7,0.482,0.333,0.692,11808240.0,11.80824
Justin Champagnie,SF,24.0,WAS,66.0,1299.0,17.7,0.601,16.5,2.5,0.7,3.2,0.119,0.9,-1.0,-0.1,0.6,18.0,8.6,5.5,1.2,0.8,0.6,0.6,0.514,0.327,0.784,2349578.0,2.349578
Ziaire Williams,SF,24.0,BRK,56.0,1281.0,12.5,0.579,18.8,0.5,1.1,1.6,0.06,-2.0,0.4,-1.7,0.1,13.0,10.2,2.4,1.1,1.4,0.4,1.1,0.425,0.343,0.85,6250000.0,6.25
Dean Wade,PF,29.0,CLE,57.0,1279.0,10.8,0.571,10.1,1.6,1.4,3.0,0.111,-1.0,1.0,0.1,0.7,36.0,5.8,4.2,1.5,0.8,0.4,0.3,0.432,0.354,0.711,6623456.0,6.623456
Ryan Dunn,SF,23.0,PHO,66.0,1277.0,11.8,0.531,13.8,0.7,1.7,2.5,0.092,-2.0,1.1,-0.9,0.3,14.0,5.8,4.2,1.4,0.9,0.4,0.8,0.452,0.335,0.476,2657760.0,2.65776
Isaiah Stewart,C,24.0,DET,55.0,1273.0,15.0,0.626,16.5,1.9,2.1,4.0,0.149,-1.1,1.2,0.1,0.7,13.0,10.0,5.1,1.2,0.3,1.6,1.1,0.541,0.333,0.76,15000000.0,15.0
Nicolas Batum,PF,37.0,LAC,71.0,1262.0,8.3,0.596,9.6,0.5,1.2,1.6,0.062,-1.8,0.6,-1.2,0.3,6.0,4.0,2.5,0.9,0.7,0.3,0.5,0.398,0.398,0.818,5601600.0,5.6016
